country,City,year,month,day,AverageTemperature,AverageTemperatureUncertainty,Latitude,Longitude,continent
Spain,A Coruña,2000,1,1,7.468,0.318,42.59,-8.73,Europe
Spain,A Coruña,2000,2,1,11.199000000000002,0.429,42.59,-8.73,Europe
Spain,A Coruña,2000,3,1,12.242,0.501,42.59,-8.73,Europe
Spain,A Coruña,2000,4,1,10.431,0.379,42.59,-8.73,Europe
Spain,A Coruña,2000,5,1,15.149,0.457,42.59,-8.73,Europe
Spain,A Coruña,2000,6,1,18.215,0.413,42.59,-8.73,Europe
Spain,A Coruña,2000,7,1,18.53,0.304,42.59,-8.73,Europe
Spain,A Coruña,2000,8,1,19.03,0.321,42.59,-8.73,Europe
Spain,A Coruña,2000,9,1,17.636,0.27,42.59,-8.73,Europe
Spain,A Coruña,2000,10,1,13.611,0.3379999999999999,42.59,-8.73,Europe
Spain,A Coruña,2000,11,1,10.986,0.244,42.59,-8.73,Europe
Spain,A Coruña,2000,12,1,11.244000000000002,0.365,42.59,-8.73,Europe
Spain,A Coruña,2001,1,1,9.849,0.241,42.59,-8.73,Europe
Spain,A Coruña,2001,2,1,10.412,0.346,42.59,-8.73,Europe
Spain,A Coruña,2001,3,1,12.132,0.309,42.59,-8.73,Europe
Spain,A Coruña,2001,4,1,11.915,0.257,42.59,-8.73,Europe
Spain,A Coruña,2001,5,1,14.872,0.297,42.59,-8.73,Europe
Spain,A Coruña,2001,6,1,17.845000000000006,0.366,42.59,-8.73,Europe
Spain,A Coruña,2001,7,1,18.417,0.27,42.59,-8.73,Europe
Spain,A Coruña,2001,8,1,19.272,0.321,42.59,-8.73,Europe
Spain,A Coruña,2001,9,1,17.976999999999997,0.411,42.59,-8.73,Europe
Spain,A Coruña,2001,10,1,15.906,0.192,42.59,-8.73,Europe
Spain,A Coruña,2001,11,1,10.457999999999998,0.472,42.59,-8.73,Europe
Spain,A Coruña,2001,12,1,7.585,0.5579999999999999,42.59,-8.73,Europe
Spain,A Coruña,2002,1,1,10.562,0.4639999999999999,42.59,-8.73,Europe
Spain,A Coruña,2002,2,1,10.78,0.316,42.59,-8.73,Europe
Spain,A Coruña,2002,3,1,12.265,0.385,42.59,-8.73,Europe
Spain,A Coruña,2002,4,1,12.069,0.282,42.59,-8.73,Europe
Spain,A Coruña,2002,5,1,13.405,0.426,42.59,-8.73,Europe
Spain,A Coruña,2002,6,1,16.458000000000002,0.3779999999999999,42.59,-8.73,Europe
Spain,A Coruña,2002,7,1,18.270000000000003,0.34,42.59,-8.73,Europe
Spain,A Coruña,2002,8,1,18.793,0.207,42.59,-8.73,Europe
Spain,A Coruña,2002,9,1,18.243,0.4529999999999999,42.59,-8.73,Europe
Spain,A Coruña,2002,10,1,15.753,0.215,42.59,-8.73,Europe
Spain,A Coruña,2002,11,1,11.973999999999998,0.235,42.59,-8.73,Europe
Spain,A Coruña,2002,12,1,11.584,0.178,42.59,-8.73,Europe
Spain,A Coruña,2003,1,1,8.687999999999999,0.287,42.59,-8.73,Europe
Spain,A Coruña,2003,2,1,9.159,0.198,42.59,-8.73,Europe
Spain,A Coruña,2003,3,1,12.752,0.346,42.59,-8.73,Europe
Spain,A Coruña,2003,4,1,13.008,0.521,42.59,-8.73,Europe
Spain,A Coruña,2003,5,1,15.186,0.304,42.59,-8.73,Europe
